Word,Type,IPA,Definition,Example
chicken,noun, /ˈtʃɪk.ɪn/,"a type of bird kept on a farm for its eggs or its meat, or the meat of this bird that is cooked and eaten:","A male chicken is called a cock and a female chicken is called a hen.
We're having roast/fried chicken for dinner."
cowardly,adjective,/ˈkaʊ.əd.li/ ,"(of a person) not at all brave and too eager to avoid danger, difficulty, or pain
in a way that shows someone is not at all brave and is too eager to avoid danger, difficulty, or pain","He was too cowardly to give the order.
When they criticize us anonymously they come across as cowardly.
These are not cowardly people, but they are cautious.
We will not retreat or act cowardly"
person,noun,/ˈpɜː.sən/,"a man, woman, or child
used when describing someone's character","Who was the first person to swim the English Channel?
A meal at the restaurant costs about $70 for two people"
job,noun, /dʒɒb/,"the regular work that a person does to earn money
a particular piece of work
","a temporary/permanent job
When she left college, she got a job as an editor in a publishing company
It's very difficult trying to bring up two children while doing a full-time job"
collect,verb, /kəˈlekt/,to get and keep things of one type such as stamps or coins as a hobby,"She collects dolls
So when did you start collecting antique glass"
coin,noun,/kɔɪn/,"a small, round piece of metal, usually silver or copper coloured, that is used as money",gold coins
copper,noun, /ˈkɒp.ər/,"a chemical element that is a reddish-brown metal, used especially for making wire and coins","They mine a lot of copper around these parts
One of the properties of copper is that it conducts heat and electricity very well"
colour,noun, /ˈkʌl.ər/,"red, blue, green, yellow, etc.
","She wears a lot of bright colours.
What's your favourite colour"
company,noun,/ˈkʌm.pə.ni/,an organization that sells goods or services in order to make money,"He works for a software company/a company that makes software
I work for Duggan and Company"
,,,,
